,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
135,135,9.0,0.32822007,"[(2, 0.18665761), (3, 0.24377006), (5, 0.118574224), (6, 0.10994966), (9, 0.32822007)]"
136,136,3.0,0.34285545,"[(0, 0.15853605), (3, 0.34285545), (6, 0.3407042), (8, 0.14024635)]"
137,137,0.0,0.3622445,"[(0, 0.3622445), (1, 0.16715632), (4, 0.13841909), (6, 0.22442056), (8, 0.08775187)]"
138,138,6.0,0.68148357,"[(0, 0.037140887), (2, 0.07973096), (6, 0.68148357), (9, 0.19010171)]"
139,139,6.0,0.6306248,"[(2, 0.042237703), (3, 0.20373748), (4, 0.105211094), (6, 0.6306248)]"
140,140,9.0,0.47621843,"[(0, 0.14673318), (6, 0.3478722), (9, 0.47621843)]"
141,141,6.0,0.6289058,"[(3, 0.20992559), (6, 0.6289058), (9, 0.14408898)]"
142,142,3.0,0.51069635,"[(3, 0.51069635), (6, 0.2677987), (8, 0.1989184)]"
143,143,2.0,0.49823835,"[(0, 0.20974962), (2, 0.49823838), (4, 0.19316822), (6, 0.07814606)]"
144,144,6.0,0.29916367,"[(0, 0.10115221), (2, 0.21715938), (3, 0.19654137), (6, 0.29916367), (9, 0.17282015)]"
145,145,6.0,0.6104271,"[(4, 0.051239952), (6, 0.6104271), (9, 0.31574354)]"
146,146,6.0,0.54080254,"[(2, 0.091446936), (6, 0.54080254), (9, 0.32654482)]"
147,147,3.0,0.38816404,"[(1, 0.026199823), (3, 0.38816404), (4, 0.16285098), (5, 0.07204941), (6, 0.08760333), (7, 0.08817166), (9, 0.1694017)]"
148,148,9.0,0.5940417,"[(4, 0.06362693), (6, 0.31540045), (9, 0.5940417)]"
149,149,6.0,0.9689557,"[(6, 0.9689557)]"
150,150,9.0,0.45219916,"[(4, 0.13205692), (6, 0.26844442), (7, 0.121204935), (9, 0.4521992)]"
151,151,6.0,0.45367005,"[(2, 0.20761827), (3, 0.26993036), (4, 0.04569809), (6, 0.45367005)]"
152,152,3.0,0.3744855,"[(0, 0.3398099), (3, 0.3744855), (7, 0.23184007)]"
153,153,7.0,0.4298635,"[(1, 0.13399087), (6, 0.23093943), (7, 0.42986354), (9, 0.18019757)]"
154,154,3.0,0.31146145,"[(0, 0.083547376), (1, 0.18291885), (2, 0.05962735), (3, 0.31146145), (5, 0.07542244), (6, 0.121327884), (8, 0.1593083)]"
155,155,6.0,0.5105304,"[(2, 0.32666337), (6, 0.5105304), (9, 0.13235669)]"
156,156,6.0,0.6884914,"[(6, 0.6884914), (7, 0.28292578)]"
157,157,8.0,0.42320725,"[(0, 0.04111974), (2, 0.12605473), (4, 0.115932554), (7, 0.09050438), (8, 0.42320725), (9, 0.1929195)]"
158,158,9.0,0.3855435,"[(0, 0.0806417), (5, 0.060525317), (6, 0.35285342), (7, 0.10932124), (9, 0.3855435)]"
159,159,9.0,0.46435615,"[(3, 0.32443246), (8, 0.18075792), (9, 0.46435615)]"
160,160,9.0,0.51844007,"[(1, 0.23788922), (7, 0.19366015), (9, 0.51844007)]"
161,161,6.0,0.5388445,"[(6, 0.5388445), (9, 0.42780918)]"
162,162,9.0,0.40269008,"[(0, 0.19875222), (6, 0.106190145), (7, 0.1467404), (8, 0.10715332), (9, 0.40269008)]"
163,163,3.0,0.33313054,"[(0, 0.14374079), (3, 0.33313054), (4, 0.11962566), (5, 0.0673592), (6, 0.32297733)]"
164,164,9.0,0.43561062,"[(1, 0.11295619), (6, 0.34763837), (7, 0.08442765), (9, 0.43561062)]"
165,165,3.0,0.6573763,"[(2, 0.094113596), (3, 0.6573763), (6, 0.22662921)]"
166,166,9.0,0.38020352,"[(2, 0.12221354), (3, 0.16316718), (4, 0.06435516), (8, 0.25005135), (9, 0.38020352)]"
167,167,6.0,0.8070869,"[(6, 0.8070869), (9, 0.16432585)]"
168,168,9.0,0.5165959,"[(2, 0.29424867), (3, 0.16970515), (9, 0.5165959)]"
169,169,3.0,0.48543218,"[(0, 0.15308762), (1, 0.04298393), (3, 0.48543218), (9, 0.2954083)]"
170,170,6.0,0.5667908,"[(1, 0.2064527), (3, 0.19493018), (6, 0.5667908)]"
171,171,9.0,0.29079992,"[(0, 0.12971091), (2, 0.080076404), (5, 0.04358801), (6, 0.22583565), (7, 0.04335763), (8, 0.17829417), (9, 0.29079992)]"
172,172,9.0,0.34116963,"[(2, 0.26637104), (4, 0.17495365), (5, 0.057829566), (8, 0.14242904), (9, 0.34116963)]"
173,173,3.0,0.27873057,"[(0, 0.11410705), (2, 0.22268169), (3, 0.27873057), (5, 0.08653747), (6, 0.1068917), (9, 0.17928183)]"
174,174,6.0,0.7474518,"[(2, 0.061203863), (3, 0.15695006), (6, 0.7474518), (9, 0.02347908)]"
175,175,6.0,0.5754783,"[(2, 0.13417561), (4, 0.049274474), (6, 0.5754783), (8, 0.2170632)]"
176,176,6.0,0.62473774,"[(0, 0.079910845), (3, 0.15869382), (4, 0.115959086), (6, 0.62473774)]"
177,177,0.0,0.3221896,"[(0, 0.3221896), (1, 0.07559012), (2, 0.24424288), (6, 0.23109049), (7, 0.11125376)]"
178,178,9.0,0.83446956,"[(3, 0.13589008), (9, 0.83446956)]"
179,179,9.0,0.50525004,"[(4, 0.15013924), (7, 0.11185514), (8, 0.20274746), (9, 0.50525004)]"
180,180,6.0,0.47607663,"[(0, 0.19574983), (6, 0.47607663), (7, 0.2989963)]"
181,181,8.0,0.3838913,"[(0, 0.07575729), (2, 0.22166549), (6, 0.2033781), (8, 0.3838913), (9, 0.1010162)]"
182,182,9.0,0.4094077,"[(1, 0.2407052), (2, 0.09095868), (5, 0.10684459), (6, 0.11873715), (9, 0.4094077)]"
183,183,8.0,0.5812262,"[(7, 0.368761), (8, 0.5812262)]"
184,184,3.0,0.35998702,"[(0, 0.13231581), (3, 0.35998702), (4, 0.25360993), (6, 0.09416624), (9, 0.14324357)]"
185,185,6.0,0.6375781,"[(3, 0.32430395), (6, 0.6375781)]"
186,186,8.0,0.45133108,"[(0, 0.32699096), (3, 0.19250113), (8, 0.45133105)]"
187,187,3.0,0.32328668,"[(0, 0.29478297), (3, 0.32328668), (6, 0.25649354), (8, 0.10320763)]"
188,188,1.0,0.38082615,"[(0, 0.30678183), (1, 0.38082615), (2, 0.27737594)]"
189,189,6.0,0.5249606,"[(4, 0.13126235), (6, 0.5249606), (9, 0.32377014)]"
190,190,0.0,0.39768574,"[(0, 0.39768574), (2, 0.2292971), (3, 0.11907355), (5, 0.20391445)]"
191,191,3.0,0.26458493,"[(0, 0.20830818), (2, 0.056190047), (3, 0.26458493), (5, 0.21857211), (6, 0.23310295)]"
192,192,6.0,0.6391081,"[(3, 0.16157387), (6, 0.6391081), (7, 0.18375485)]"
