,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
3836,3836,0.0,0.45522305,"[(0, 0.45522302), (1, 0.3729334), (2, 0.02790051), (3, 0.14394304)]"
3837,3837,0.0,0.5566645,"[(0, 0.5566645), (1, 0.023326145), (2, 0.19853783), (3, 0.22147144)]"
3838,3838,2.0,0.49655768,"[(0, 0.15241678), (1, 0.31356597), (2, 0.49655768), (3, 0.037459604)]"
3839,3839,0.0,0.5054941,"[(0, 0.5054941), (1, 0.14246008), (2, 0.3325835), (3, 0.019462334)]"
3840,3840,3.0,0.5683023,"[(0, 0.03135043), (1, 0.3689696), (2, 0.03137771), (3, 0.5683023)]"
3841,3841,1.0,0.87617934,"[(0, 0.08797173), (1, 0.8761794), (2, 0.017910395), (3, 0.017938484)]"
3842,3842,0.0,0.47289687,"[(0, 0.47289687), (1, 0.051378768), (2, 0.053365808), (3, 0.4223586)]"
3843,3843,1.0,0.9639341,"[(0, 0.01206884), (1, 0.9639341), (2, 0.0120776715), (3, 0.01191934)]"
3844,3844,1.0,0.59995914,"[(0, 0.33615592), (1, 0.59995914), (2, 0.032254644), (3, 0.031630322)]"
3845,3845,1.0,0.9046833,"[(0, 0.031386606), (1, 0.9046833), (2, 0.031651266), (3, 0.032278817)]"
3846,3846,1.0,0.597065,"[(0, 0.015934104), (1, 0.597065), (2, 0.01775957), (3, 0.36924133)]"
3847,3847,0.0,0.7735044,"[(0, 0.7735044), (1, 0.17558669), (2, 0.025706332), (3, 0.025202643)]"
3848,3848,0.0,0.5997962,"[(0, 0.5997962), (1, 0.037320998), (2, 0.035912264), (3, 0.3269706)]"
3849,3849,1.0,0.52140796,"[(0, 0.035072584), (1, 0.52140796), (2, 0.031384297), (3, 0.41213518)]"
3850,3850,1.0,0.6972345,"[(0, 0.24000983), (1, 0.6972345), (2, 0.031342316), (3, 0.03141337)]"
3851,3851,1.0,0.9496551,"[(0, 0.016737876), (1, 0.9496551), (2, 0.016736293), (3, 0.016870724)]"
