date,X01-a,X01-b,X02-a,X02-b,Z01-a,Z01-b,Z02-a,Z02-b,Z03-a,Z03-b,Z04-a,Z04-b,Z05-a,Z05-b,Y01-a,Y01-b,Y02-a,Y02-b,Y03-a,Y03-b,T01-a,T01-b
2022-01-27,88.67521,36.75213,52.63157,100,100,4.70275,89.82658,6.35838,31.23503,91.21392,20.67559,100,12.23715,100,100,51.85087,100,68.32884,64.28571,87.87878,100,21.70138
2022-01-28,54.05982,35.04273,0,26.31578,25.99822,4.61401,20,4.73988,29.70668,50.58738,18.69539,39.07979,11.06514,38.91761,41.00813,39.45917,48.78706,40.29649,33.54978,61.47186,13.88888,6.35416
2022-01-29,17.6282,13.99572,0,0,6.29991,1.06477,3.23699,0.92485,15.15131,15.80333,7.22189,14.09435,4.27438,14.44329,13.94066,20.95038,11.45552,9.83827,4.7619,9.5238,2.56944,1.42361
2022-01-30,14.2094,10.79059,0,0,3.81543,0.44365,3.69942,0.92485,12.47101,10.1015,5.64938,11.64822,3.34367,11.96139,9.58256,19.53268,6.87331,6.33423,6.0606,7.14285,1.18055,1.11111
2022-01-31,12.07264,9.50854,0,0,4.34782,0.62111,2.42774,0.80924,12.6706,13.13728,6.11531,10.7746,3.61944,10.4102,9.39879,18.5613,7.68194,6.19946,2.38095,5.6277,1.66666,1.18055
2022-02-01,16.02564,8.547,0,0,5.1464,0.88731,3.93063,0.69364,15.9478,20.73242,7.5131,11.82294,4.44674,9.47948,10.76398,22.36807,7.95148,5.79514,3.67965,5.1948,2.15277,2.77777
2022-02-02,16.45299,13.03418,0,0,3.63797,0.97604,3.58381,0.57803,16.62547,20.2819,6.23179,14.90972,3.68838,13.99517,12.20792,30.87424,7.95148,12.80323,8.87445,11.68831,1.97916,2.63888
2022-02-03,32.79914,19.55128,0,26.31578,5.1464,3.9929,3.81502,4.97109,29.24286,41.30232,13.39545,21.89866,7.9283,20.02757,23.20819,53.00603,16.30727,18.32884,14.50216,23.16017,9.93055,6.14583
2022-02-04,25.21367,23.93162,31.57894,31.57894,5.41259,3.46051,4.97109,4.73988,28.10801,35.77063,11.00757,15.89982,6.51499,16.54601,19.48017,33.63087,11.9946,7.95148,14.71861,13.20346,10.3125,5.69444
2022-02-05,15.49145,12.60683,0,0,3.19432,0.79858,1.38728,1.84971,15.02014,14.14952,5.41642,9.43506,3.20579,10.34126,8.7687,23.52323,4.98652,5.79514,3.67965,5.84415,2.11805,1.21527
2022-02-06,12.71367,12.92735,0,0,2.75066,0.88731,1.15606,1.15606,13.50416,11.13276,3.02853,10.65812,1.79248,13.27128,8.24363,23.81202,5.39083,5.92991,4.329,3.0303,1.31944,1.18055
2022-02-07,22.00854,24.46581,26.31578,47.36842,4.70275,3.7267,4.62427,3.12138,26.57206,32.77097,9.72626,14.85148,5.75663,19.61392,18.87634,30.5592,11.59029,6.469,8.2251,11.47186,9.375,5.38194
2022-02-08,19.76495,22.54273,0,26.31578,4.52528,3.01685,5.43352,1.7341,25.7366,30.79591,8.73616,12.69656,5.17063,14.92588,16.59228,28.90522,11.85983,4.85175,9.30735,6.4935,9.34027,3.68055
2022-02-09,22.86324,26.38888,26.31578,31.57894,3.7267,2.21827,3.93063,3.12138,23.86039,28.57848,9.02737,11.70646,5.34298,12.54739,17.64242,28.61643,9.43396,3.77358,10.38961,12.77056,6.07638,2.98611
2022-02-10,37.60683,25.74786,0,26.31578,4.79148,3.46051,4.50867,3.3526,24.3898,29.36166,7.74606,10.54164,4.58462,14.27094,14.54449,29.85035,11.18598,5.25606,25.32467,15.15151,5.10416,4.20138
2022-02-11,41.45299,19.55128,36.8421,42.10526,4.88021,2.5732,6.8208,2.31213,23.45169,28.54427,9.31857,13.91962,5.51533,12.40951,17.06484,23.94329,16.30727,4.31266,32.03463,16.88311,5.13888,3.33333
2022-02-12,16.13247,10.79059,0,0,5.41259,0.53238,4.62427,2.31213,14.47553,14.18849,5.59114,12.11415,3.3092,11.2375,15.75216,19.16513,9.02964,2.02156,17.53246,7.3593,1.00694,1.11111
2022-02-13,12.17948,8.97435,0,0,2.66193,1.06477,2.31213,2.31213,12.43394,9.87339,3.61094,15.20093,2.13719,14.37435,12.60173,21.60672,9.83827,3.77358,11.47186,5.6277,1.11111,1.11111
2022-02-14,26.17521,24.03846,57.89473,36.8421,17.03637,3.10559,20.92485,3.12138,25.71854,37.41303,8.67792,32.55678,5.13615,24.99138,30.03412,29.85035,31.9407,12.12938,47.83549,22.94372,4.75694,3.33333
2022-02-15,19.23076,20.40598,57.89473,36.8421,9.4055,2.92812,11.6763,3.93063,25.15492,34.12538,8.09551,22.53931,4.79145,22.475,22.84064,26.83118,20.21563,10.37735,23.16017,23.16017,3.4375,3.88888
2022-02-16,17.94871,21.58119,36.8421,57.89473,4.43655,4.17036,4.50867,5.43352,23.97064,32.0106,5.59114,15.14269,3.3092,14.96035,17.1436,26.48989,11.85983,11.45552,31.81818,46.32034,4.27083,2.84722
2022-02-17,30.44871,24.57264,42.10526,73.68421,31.14463,4.17036,37.34104,4.27745,23.73493,37.69341,6.69772,14.09435,3.96415,14.27094,19.6377,26.43738,16.57681,7.68194,26.83982,22.29437,4.82638,2.91666
